scene,path,ChatGPT Response1,ChatGPT Response2,ChatGPT Response3,ChatGPT Response4,ChatGPT Response5,ChatGPT Answer,Correct Answer,answer==correct_answer,correct_answer in response
scene1,QA/MultiChoice/Caption/EatingDrinking_scene1_movies_Drink_alcohol1.json,drink alcohol,drink water,have evening beverage,responsibility with alcohol consumption,balance between hydration and alcohol,drink alcohol,drink alcohol,TRUE,TRUE
scene1,QA/MultiChoice/Caption/EatingDrinking_scene1_movies_Drink_juice1.json,make morning beverage,drink water,drink juice,clean kitchen,health conscious behavior,make morning beverage,drink juice,FALSE,TRUE
scene1,QA/MultiChoice/Caption/EatingDrinking_scene1_movies_Drink_milk1.json,drink milk,drink water,make cold cereal,prepare for brushing teeth,clean kitchentable,drink milk,drink milk,TRUE,TRUE
scene1,QA/MultiChoice/Caption/EatingDrinking_scene1_movies_Drink_water1.json,clean kitchen,place waterglass,drink water,clean sink,get out of bed,clean kitchen,drink water,FALSE,TRUE
scene1,QA/MultiChoice/Caption/EatingDrinking_scene1_movies_Drink_wine1.json,drink wine,pour wine,grab wineglass,drink alcohol,relax on sofa,drink wine,drink wine,TRUE,TRUE
scene1,QA/MultiChoice/Caption/EatingDrinking_scene1_movies_Eat_breadslice1.json,eat breadslice,walk with memory loss,relax on sofa,clean kitchen,pick up dirty dishes,eat breadslice,eat breadslice,TRUE,TRUE
scene1,QA/MultiChoice/Caption/EatingDrinking_scene1_movies_Eat_cupcake1.json,eat cupcake,relax on sofa,eat cupcake while watching television,watch television,social media checks,eat cupcake,eat cupcake,TRUE,TRUE
scene1,QA/MultiChoice/Caption/EatingDrinking_scene1_movies_Have_evening_beverage3.json,drink wine,eat cupcake,relax on bed,have evening beverage,social media checks,drink wine,have evening beverage,FALSE,TRUE
scene1,QA/MultiChoice/Caption/EatingDrinking_scene1_movies_Have_evening_beverage4.json,drink alcohol,eat cupcake,drink water,have evening beverage,prepare for brushing teeth,drink alcohol,have evening beverage,FALSE,TRUE
scene1,QA/MultiChoice/Caption/EatingDrinking_scene1_movies_Have_morning_beverage3.json,drink milk,drink water,relax on sofa,have morning beverage,midday snack,drink milk,have morning beverage,FALSE,TRUE
scene1,QA/MultiChoice/Caption/EatingDrinking_scene1_movies_Have_morning_beverage4.json,drink juice,drink water,prepare for brushing teeth,make morning beverage,clean kitchen,drink juice,have morning beverage,FALSE,FALSE
scene1,QA/MultiChoice/Caption/FoodPreparation_scene1_movies_Cook_carrot1.json,cook carrot,clean kitchen,clean sink,place waterglass,set up table,cook carrot,cook carrot,TRUE,TRUE
scene1,QA/MultiChoice/Caption/FoodPreparation_scene1_movies_Cook_fried_bread3.json,cook fried bread,drink milk,eat breadslice,clean kitchen,make breakfast sandwich,cook fried bread,cook fried bread,TRUE,TRUE
scene1,QA/MultiChoice/Caption/FoodPreparation_scene1_movies_Cook_fried_bread4.json,cook fried bread,drink milk,clean kitchen,eat breadslice,make breakfast,cook fried bread,cook fried bread,TRUE,TRUE
scene1,QA/MultiChoice/Caption/FoodPreparation_scene1_movies_Cook_potato_using_microwave1.json,cook potato using microwave,clean kitchen,make bed,drink water,use bathroom,cook potato using microwave,cook potato using microwave,TRUE,TRUE
scene1,QA/MultiChoice/Caption/FoodPreparation_scene1_movies_Cook_potato_using_stove1.json,cook potato using stove,pour milk,gather ingredients,follow a recipe,clean kitchen,cook potato using stove,cook potato using stove,TRUE,TRUE
scene1,QA/MultiChoice/Caption/FoodPreparation_scene1_movies_Cook_salmon1.json,cook salmon,clean kitchen,set up table,prepare for brushing teeth,drink water,cook salmon,cook salmon,TRUE,TRUE
scene1,QA/MultiChoice/Caption/FoodPreparation_scene1_movies_Make_cold_cereal1.json,make cold cereal,clean kitchen,set up table,drink milk,have morning beverage,make cold cereal,make cold cereal,TRUE,TRUE
scene1,QA/MultiChoice/Caption/FoodPreparation_scene1_movies_Make_hot_cereal1.json,make cold cereal,drink milk,clean kitchen,have morning beverage,set up table,make cold cereal,make hot cereal,FALSE,FALSE
scene1,QA/MultiChoice/Caption/HouseArrangement_scene1_movies_Clear_table1.json,drink wine,set up table,clean kitchen,place wine,place waterglass,drink wine,clear table,FALSE,FALSE
scene1,QA/MultiChoice/Caption/HouseArrangement_scene1_movies_Fold_clothespants1.json,fold clothespants,organize closet,clean bedroom,prepare for a trip,seasonal clothing change,fold clothespants,fold clothespants,TRUE,TRUE
scene1,QA/MultiChoice/Caption/HouseArrangement_scene1_movies_Fold_clothespile1.json,fold clothespile,organize closet,make bed,clean kitchentable,clean livingroom,fold clothespile,fold clothespile,TRUE,TRUE
scene1,QA/MultiChoice/Caption/HouseArrangement_scene1_movies_Fold_clothesshirt1.json,organize closet,fold clothesshirt,get out of bed,walk with memory loss,clean desk,organize closet,fold clothesshirt,FALSE,TRUE
scene1,QA/MultiChoice/Caption/HouseArrangement_scene1_movies_Make_bed1.json,go to sleep,relax on bed,have evening beverage,drink milk,eat bread while watching television,go to sleep,make bed,FALSE,FALSE
scene1,QA/MultiChoice/Caption/HouseArrangement_scene1_movies_Organize_closet1.json,organize closet,fold clothespants,fold clothesshirt,put away groceries from fridge,clean kitchen,organize closet,organize closet,TRUE,TRUE
scene1,QA/MultiChoice/Caption/HouseArrangement_scene1_movies_Pick_up_dirty_dishes1.json,clean kitchen,clear table,pick up dirty dishes,set up table,rinse toothbrush,clean kitchen,pick up dirty dishes,FALSE,TRUE
scene1,QA/MultiChoice/Caption/HouseArrangement_scene1_movies_Pick_up_dirty_fork1.json,pick up dirty fork,clean kitchen,set up table,place fork,organize closet,pick up dirty fork,pick up dirty fork,TRUE,TRUE
scene1,QA/MultiChoice/Caption/HouseArrangement_scene1_movies_Pick_up_dirty_knife1.json,clean kitchen,put away groceries from fridge,cook salmon,place knife,clean sink,clean kitchen,pick up dirty knife,FALSE,FALSE
scene1,QA/MultiChoice/Caption/HouseArrangement_scene1_movies_Pick_up_dirty_waterglass1.json,drink water,clean kitchen,set up table,pick up dirty waterglass,clean sink,drink water,pick up dirty waterglass,FALSE,TRUE
scene1,QA/MultiChoice/Caption/HouseArrangement_scene1_movies_Pick_up_dirty_wineglass1.json,put away groceries from fridge,clean kitchen,drink wine,place wineglass,have evening beverage,put away groceries from fridge,pick up dirty wineglass,FALSE,FALSE
scene1,QA/MultiChoice/Caption/HouseArrangement_scene1_movies_Place_fork1.json,set up table,place fork,clean kitchen,organize closet,clean kitchentable,set up table,place fork,FALSE,TRUE
scene1,QA/MultiChoice/Caption/HouseArrangement_scene1_movies_Place_knife1.json,place knife,clean kitchen,cook salmon,set up table,organize cutlery,place knife,place knife,TRUE,TRUE
scene1,QA/MultiChoice/Caption/HouseArrangement_scene1_movies_Place_plate1.json,set up table,clear table,cook fried bread,clean kitchen,organize closet,set up table,place plate,FALSE,FALSE
scene1,QA/MultiChoice/Caption/HouseArrangement_scene1_movies_Place_waterglass1.json,place waterglass,clean kitchen,drink water,set up table,drink wine,place waterglass,place waterglass,TRUE,TRUE
scene1,QA/MultiChoice/Caption/HouseArrangement_scene1_movies_Place_wine1.json,drink wine,set up table,place wine,have evening beverage,drink alcohol,drink wine,place wine,FALSE,TRUE
scene1,QA/MultiChoice/Caption/HouseArrangement_scene1_movies_Place_wineglass1.json,drink wine,place wineglass,drink alcohol while watching television,relax on sofa while watching television,clean kitchen,drink wine,place wine,FALSE,FALSE
scene1,QA/MultiChoice/Caption/HouseArrangement_scene1_movies_Put_away_groceries_from_fridge1.json,prepare for a social gathering,making dinner plans,celebration or personal milestone,self-care ritual,clean or organize the kitchen,prepare for a social gathering,put away groceries from fridge,FALSE,FALSE
scene1,QA/MultiChoice/Caption/HouseArrangement_scene1_movies_Put_away_groceries_from_fridge2.json,drink juice,drink milk,put groceries in fridge,clean fridge,make breakfast or brunch,drink juice,put away groceries from fridge,FALSE,FALSE
scene1,QA/MultiChoice/Caption/HouseArrangement_scene1_movies_Put_away_groceries_from_fridge3.json,put groceries in fridge,clean fridge,cook potato using stove,cook carrot,set up table,put groceries in fridge,put away groceries from fridge,FALSE,FALSE
scene1,QA/MultiChoice/Caption/HouseArrangement_scene1_movies_Put_groceries_in_fridge13.json,clean kitchen,drink alcohol,prepare for a party or gathering,dealing with an accident or spill,possible substance use concerns,clean kitchen,put groceries in fridge,FALSE,FALSE
scene1,QA/MultiChoice/Caption/HouseArrangement_scene1_movies_Put_groceries_in_fridge14.json,clean kitchen,put away groceries from fridge,clean sink,rinse toothbrush,cook carrot,clean kitchen,put groceries in fridge,FALSE,FALSE
scene1,QA/MultiChoice/Caption/HouseArrangement_scene1_movies_Put_groceries_in_fridge15.json,put groceries in fridge,drink milk,make cold cereal,clean fridge,clean kitchen,put groceries in fridge,put groceries in fridge,TRUE,TRUE
scene1,QA/MultiChoice/Caption/HouseArrangement_scene1_movies_Put_groceries_in_fridge16.json,clean kitchen,put groceries in fridge,clean sink,clean fridge,put away groceries from fridge,clean kitchen,put groceries in fridge,FALSE,TRUE
scene1,QA/MultiChoice/Caption/HouseArrangement_scene1_movies_Put_groceries_in_fridge17.json,put groceries in fridge,clean fridge,clean kitchen,organize closet,put away groceries from fridge,put groceries in fridge,put groceries in fridge,TRUE,TRUE
scene1,QA/MultiChoice/Caption/HouseArrangement_scene1_movies_Put_groceries_in_fridge18.json,put groceries in fridge,clean fridge,organize closet,clean kitchen,put away groceries from fridge,put groceries in fridge,put groceries in fridge,TRUE,TRUE
scene1,QA/MultiChoice/Caption/HouseArrangement_scene1_movies_Put_groceries_in_fridge19.json,put groceries in fridge,clean fridge,clean kitchen,pick up dirty dishes,throw trash,put groceries in fridge,put groceries in fridge,TRUE,TRUE
scene1,QA/MultiChoice/Caption/HouseArrangement_scene1_movies_Put_groceries_in_fridge20.json,put away groceries from fridge,clean fridge,clean kitchen,cook fried bread,set up table,put away groceries from fridge,put groceries in fridge,FALSE,FALSE
scene1,QA/MultiChoice/Caption/HouseArrangement_scene1_movies_Put_groceries_in_fridge21.json,put groceries in fridge,clean fridge,clean kitchen,place plate,prepare for brushing teeth,put groceries in fridge,put groceries in fridge,TRUE,TRUE
scene1,QA/MultiChoice/Caption/HouseArrangement_scene1_movies_Put_groceries_in_fridge22.json,clean kitchen,drink juice,put groceries in fridge,clean fridge,clean kitchentable,clean kitchen,put groceries in fridge,FALSE,TRUE
scene1,QA/MultiChoice/Caption/HouseArrangement_scene1_movies_Put_groceries_in_fridge23.json,clean kitchen,grab towel,put away groceries from fridge,use bathroom,drink milk,clean kitchen,put groceries in fridge,FALSE,FALSE
scene1,QA/MultiChoice/Caption/HouseArrangement_scene1_movies_Put_groceries_in_fridge24.json,have evening beverage,drink wine,prepare for brushing teeth,clean kitchen,relax on bed,have evening beverage,put groceries in fridge,FALSE,FALSE
scene1,QA/MultiChoice/Caption/HouseArrangement_scene1_movies_Put_slippers_in_closet1.json,get out of bed,walk with memory loss,hand washing,clean sink,organize closet,get out of bed,put slippers in closet,FALSE,FALSE
scene1,QA/MultiChoice/Caption/HouseArrangement_scene1_movies_Put_slippers_in_closet2.json,put slippers in closet,organize closet,clean slippers,relax on sofa,go to sleep,put slippers in closet,put slippers in closet,TRUE,TRUE
scene1,QA/MultiChoice/Caption/HouseArrangement_scene1_movies_Set_up_table1.json,set up table,place plate,place waterglass,place wineglass,place fork,set up table,set up table,TRUE,TRUE
scene1,QA/MultiChoice/Caption/HouseArrangement_scene1_movies_Throw_trash2.json,clean kitchen,throw trash,clean fridge,organize closet,clean sink,clean kitchen,throw trash,FALSE,TRUE
scene1,QA/MultiChoice/Caption/HouseArrangement_scene1_movies_Throw_trash3.json,put away groceries from fridge,throw trash,clean kitchen,put groceries in fridge,cook salmon,put away groceries from fridge,throw trash,FALSE,TRUE
scene1,QA/MultiChoice/Caption/HouseArrangement_scene1_movies_Turn_off_light5.json,turn off light,walk,relax on sofa,drink wine while watching television,clean kitchen,turn off light,turn off light,TRUE,TRUE
scene1,QA/MultiChoice/Caption/HouseArrangement_scene1_movies_Turn_off_light6.json,turn off light,walk,drink milk,relax on bed,go to sleep,turn off light,turn off light,TRUE,TRUE
scene1,QA/MultiChoice/Caption/HouseArrangement_scene1_movies_Turn_off_light7.json,go to sleep,turn off light,relax on bed,read bedtime story,check on a child or pet,go to sleep,turn off light,FALSE,TRUE
scene1,QA/MultiChoice/Caption/HouseArrangement_scene1_movies_Turn_off_light8.json,use bathroom,turn off light,go to sleep,walk with memory loss,drink water,use bathroom,turn off light,FALSE,TRUE
scene1,QA/MultiChoice/Caption/HouseArrangement_scene1_movies_Turn_on_light5.json,drink water,turn on light,clean kitchen,eat breadslice,pick up dirty dishes,drink water,turn on light,FALSE,TRUE
scene1,QA/MultiChoice/Caption/HouseArrangement_scene1_movies_Turn_on_light6.json,prepare for brushing teeth,turn on light,relax on sofa,get out of bed,social media checks,prepare for brushing teeth,turn on light,FALSE,TRUE
scene1,QA/MultiChoice/Caption/HouseArrangement_scene1_movies_Turn_on_light7.json,turn on light,go to sleep,arriving home,searching for something,setting a mood,turn on light,turn on light,TRUE,TRUE
scene1,QA/MultiChoice/Caption/HouseArrangement_scene1_movies_Turn_on_light8.json,use bathroom,turn on light,walk with memory loss,hand washing,prepare for brushing teeth,use bathroom,turn on light,FALSE,TRUE
scene1,QA/MultiChoice/Caption/HouseCleaning_scene1_movies_Clean_desk3.json,clean desk,clean livingroom,clean kitchen,wipe,organize closet,clean desk,clean desk,TRUE,TRUE
scene1,QA/MultiChoice/Caption/HouseCleaning_scene1_movies_Clean_desk4.json,use bathroom,grab towel,wipe towel,walk,clean desk,use bathroom,clean desk,FALSE,TRUE
scene1,QA/MultiChoice/Caption/HouseCleaning_scene1_movies_Clean_fridge1.json,clean kitchen,clean fridge,clean kitchentable,wipe,organize closet,clean kitchen,clean fridge,FALSE,TRUE
scene1,QA/MultiChoice/Caption/HouseCleaning_scene1_movies_Clean_kitchen1.json,clean kitchen,clean sink,clean stove,clean kitchentable,organize closet,clean kitchen,clean kitchen,TRUE,TRUE
scene1,QA/MultiChoice/Caption/HouseCleaning_scene1_movies_Clean_kitchentable1.json,clean kitchentable,clean kitchen,pick up dirty dishes,set up table,prepare for brushing teeth,clean kitchentable,clean kitchen,FALSE,TRUE
scene1,QA/MultiChoice/Caption/HouseCleaning_scene1_movies_Clean_livingroom1.json,clean livingroom,clean kitchen,clean desk,wipe towel,organize closet,clean livingroom,clean livingroom,TRUE,TRUE
scene1,QA/MultiChoice/Caption/HouseCleaning_scene1_movies_Clean_sink3.json,brush teeth,use bathroom,clean sink,prepare for brushing teeth,drink water,brush teeth,clean sink,FALSE,TRUE
scene1,QA/MultiChoice/Caption/HouseCleaning_scene1_movies_Clean_sink4.json,clean kitchen,clean sink,pick up dirty dishes,clean kitchentable,clean fridge,clean kitchen,clean sink,FALSE,TRUE
scene1,QA/MultiChoice/Caption/HouseCleaning_scene1_movies_Clean_slippers.json,clean slippers,prepare for hygiene routine,home chores,organizing and tidying up,indicating hygiene concerns,clean slippers,clean slippers,TRUE,TRUE
scene1,QA/MultiChoice/Caption/HouseCleaning_scene1_movies_Clean_sofa1.json,clean livingroom,clean kitchen,prepare for brushing teeth,organize closet,use bathroom,clean livingroom,clean sofa,FALSE,FALSE
scene1,QA/MultiChoice/Caption/HouseCleaning_scene1_movies_Clean_stove1.json,clean stove,clean kitchen,pick up dirty dishes,throw trash,pick up dirty wineglass,clean stove,clean stove,TRUE,TRUE
scene1,QA/MultiChoice/Caption/HouseCleaning_scene1_movies_Clean_television3.json,watch television,use bathroom,clean kitchen,grab towel,drink water,watch television,clean television,FALSE,FALSE
scene1,QA/MultiChoice/Caption/HouseCleaning_scene1_movies_Clean_television4.json,clean livingroom,relax on sofa while watching television,use bathroom,clean kitchen,wipe,clean livingroom,clean television,FALSE,FALSE
scene1,QA/MultiChoice/Caption/HygieneStyling_scene1_movies_Brush_teeth1.json,prepare for brushing teeth,brush teeth,rinse toothbrush,walk with memory loss,use bathroom,prepare for brushing teeth,brush teeth,FALSE,TRUE
scene1,QA/MultiChoice/Caption/HygieneStyling_scene1_movies_Hand_washing1.json,use bathroom,hand washing,clean sink,rinse toothbrush,fall in bathroom,use bathroom,hand washing,FALSE,TRUE
scene1,QA/MultiChoice/Caption/HygieneStyling_scene1_movies_Prepare_for_brushing_teeth1.json,prepare for brushing teeth,walk,grab,squeeze,brush teeth,prepare for brushing teeth,prepare for brushing teeth,TRUE,TRUE
scene1,QA/MultiChoice/Caption/HygieneStyling_scene1_movies_Rinse_toothbrush1.json,prepare for brushing teeth,brush teeth,rinse toothbrush,clean sink,turn off light,prepare for brushing teeth,rinse toothbrush,FALSE,TRUE
scene1,QA/MultiChoice/Caption/HygieneStyling_scene1_movies_Use_bathroom1.json,use bathroom,use toilet,hand washing,brush teeth,rinse toothbrush,use bathroom,use bathroom,TRUE,TRUE
scene1,QA/MultiChoice/Caption/HygieneStyling_scene1_movies_Use_toilet1.json,use bathroom,use toilet,fall in bathroom,drink water,relax on sofa,use bathroom,use toilet,FALSE,TRUE
scene1,QA/MultiChoice/Caption/Leisure_scene1_movies_Drink_alcohol_while_watching_television3.json,drink alcohol while watching television,drink wine while watching television,relax on sofa,watch television,have evening beverage,drink alcohol while watching television,drink alcohol,FALSE,FALSE
scene1,QA/MultiChoice/Caption/Leisure_scene1_movies_Drink_juice_while_watching_television3.json,relax on sofa,watch television,drink juice while watching television,drink juice,have evening beverage,relax on sofa,drink juice,FALSE,TRUE
scene1,QA/MultiChoice/Caption/Leisure_scene1_movies_Drink_milk_while%20watching_television3.json,fall while standing and reaching,fall while sitting down,fall while standing quietly,fall while walking forward,fall while initiation of walking,fall while standing and reaching,drink milk,FALSE,FALSE
scene1,QA/MultiChoice/Caption/Leisure_scene1_movies_Drink_wine_while%20watching_television3.json,fall while standing and reaching,fall while standing quietly,fall while sitting down,fall while preparing meal,fall while walking forward,fall while standing and reaching,drink wine,FALSE,FALSE
scene1,QA/MultiChoice/Caption/Leisure_scene1_movies_Eat_bread_while%20watching_television3.json,fall while standing and reaching,fall while walking forward,fall while standing quietly,fall sideways while walking forward,fall while sitting down,fall while standing and reaching,eat bread while watching television,FALSE,FALSE
scene1,QA/MultiChoice/Caption/Leisure_scene1_movies_Eat_cupcake_while_watching_television3.json,eat cupcake,relax on sofa,watch television,eat cupcake while watching television,drink milk while watching television,eat cupcake,eat cupcake,TRUE,TRUE
scene1,QA/MultiChoice/Caption/Leisure_scene1_movies_Read_book1.json,relax on sofa,read book,do homework on paper,do research on computer,social media checks,relax on sofa,read book,FALSE,TRUE
scene1,QA/MultiChoice/Caption/Leisure_scene1_movies_Relax_on_bed1.json,go to sleep,relax on bed,get out of bed,use bathroom,clean kitchen,go to sleep,relax on bed,FALSE,TRUE
scene1,QA/MultiChoice/Caption/Leisure_scene1_movies_Relax_on_sofa1.json,relax on sofa,watch television,read book,drink milk while watching television,social media checks,relax on sofa,relax on sofa,TRUE,TRUE
scene1,QA/MultiChoice/Caption/Leisure_scene1_movies_Relax_on_sofa_while_watching_television3.json,relax on sofa,watch television,drink juice while watching television,drink milk while watching television,drink alcohol while watching television,relax on sofa,relax on sofa,TRUE,TRUE
scene1,QA/MultiChoice/Caption/Leisure_scene1_movies_Social_media_checks1.json,do work on computer,eat breadslice,use phone,social media checks,do research on computer,do work on computer,social media checks,FALSE,TRUE
scene1,QA/MultiChoice/Caption/Leisure_scene1_movies_Use_phone3.json,use phone,text,relax on bed,walk with memory loss,social media checks,use phone,use phone,TRUE,TRUE
scene1,QA/MultiChoice/Caption/Leisure_scene1_movies_Use_phone4.json,use phone,text cellphone,relax on sofa,drink milk,walk kitchen,use phone,use phone,TRUE,TRUE
scene1,QA/MultiChoice/Caption/Leisure_scene1_movies_Watch_television3.json,watch television,relax on sofa while watching television,drink milk while watching television,use bathroom,go to sleep,watch television,watch television,TRUE,TRUE
scene1,QA/MultiChoice/Caption/Other_scene1_movies_Admire_art1.json,admire art,clean livingroom,organize closet,prepare for brushing teeth,relax on sofa,admire art,admire art,TRUE,TRUE
scene1,QA/MultiChoice/Caption/PhysicalActivity_scene1_movies_LegOpp1.json,relax on sofa,workout,get out of bed,walk with memory loss,legopp,relax on sofa,legopp,FALSE,TRUE
scene1,QA/MultiChoice/Caption/PhysicalActivity_scene1_movies_Shoulder_stretch1.json,get out of bed,walk with memory loss,relax on sofa,stretch,clean livingroom,get out of bed,shoulder stretch,FALSE,FALSE
scene1,QA/MultiChoice/Caption/PhysicalActivity_scene1_movies_Squat_jumps1.json,squats,jump,workout,clean livingroom,put away groceries from fridge,squats,squat jumps,FALSE,FALSE
scene1,QA/MultiChoice/Caption/PhysicalActivity_scene1_movies_Squats1.json,clean livingroom,squats,pick up dirty fork,pick up dirty dishes,organize closet,clean livingroom,squats,FALSE,TRUE
scene1,QA/MultiChoice/Caption/PhysicalActivity_scene1_movies_Straddle_splits1.json,relax on sofa,watch television,eat cupcake while watching television,drink milk while watching television,shoulder stretch,relax on sofa,straddle splits,FALSE,FALSE
scene1,QA/MultiChoice/Caption/PhysicalActivity_scene1_movies_Workout1.json,workout,squats,legopp,straddle splits,squat jumps,workout,workout,TRUE,TRUE
scene1,QA/MultiChoice/Caption/SocialInteraction_scene1_movies_Pet_cat1.json,pet cat,relax on sofa,walk with memory loss,watch television,clean livingroom,pet cat,pet cat,TRUE,TRUE
scene1,QA/MultiChoice/Caption/Work_scene1_movies_Do_homework_on_paper1.json,read book,write notes,do homework on paper,clean desk,organize closet,read book,do homework on paper,FALSE,TRUE
scene1,QA/MultiChoice/Caption/Work_scene1_movies_Do_research_on_computer1.json,do work on computer,read book,write notes,do research on computer,clean desk,do work on computer,do research on computer,FALSE,TRUE
scene1,QA/MultiChoice/Caption/Work_scene1_movies_Do_work_on_computer1.json,do work on computer,walk with memory loss,drink water,social media checks,relax on sofa,do work on computer,do work on computer,TRUE,TRUE
scene1,QA/MultiChoice/Caption/Work_scene1_movies_Read_textbook1.json,read book,use bathroom,walk,drink water,relax on sofa,read book,read textbook,FALSE,FALSE
scene1,QA/MultiChoice/Caption/Work_scene1_movies_Write_notes1.json,write notes,use bathroom,use toilet,organize closet,drink water,write notes,write notes,TRUE,TRUE
